original,replace,grep_pat
 SANDLEWOOD, SANDALWOOD,
 PUTU?MAN, PUTNAM,
 CE.*VILL.*$, CENTREVILLE ST,
 THR?OG?GSNECK, THROGS NECK,
 DITMARS AVE.*$, DITMAS AVE,
 ROSS?E?DALE?, ROSEDALE,
 MYR.*AV.*$, MYRTLE AVE,
" G[[:alpha:]]{1,}WAY B.*$", GATEWAY BLVD,
" G[[:alpha:]]{1,}WAY D.*$", GATEWAY DR,
 BOYN?TO?N?, BOYNTON,
 YELLOW.*$, YELLOWSTONE BLVD,
 T.* BOY.*$, THOMAS S BOYLAND ST,
 BOY.*TON.*AV.*$, BOYNTON AVE,
 ?(H.*HA?RD|HORACE ?H|HOR.*HAR).*$, HORACE HARDING EXPY,
OCEANA? DR(I(V(E)?)?|V)? E.*$, OCEANA DR E,
OCEANA? DR(I(V(E)?)?|V)? W.*$, OCEANA DR W,
" ELD[[:alpha:]]{1,}R[[:alpha:]]{1,} L.*$", ELDERT LN,
" ELD[[:alpha:]]{1,}R[[:alpha:]]{1,} S.*$", ELDERT ST,
" ELD[[:alpha:]]{1,}R[[:alpha:]]{1,} A.*$", ELDER AVE,
 RES.* OV.*, RESERVOIR OVAL,
 EA?S?T? TRE.*$,E TREMONT AVE,
 WE?S?T? TRE.*$,W TREMONT AVE,
 W.* PL.*N.* R.*$, WHITE PLAINS RD,
" ST? NI[[:alpha:]]{1,} A.*$", ST NICHOLAS AVE,
 ST JOH?NS? P.*$, ST JOHNS PL,
 FRANK?T.N S.*$, FRANKTON ST,
" GERAN[[:alpha:]]{1,} P.*$", GERANIUM PL,
" GERAN[[:alpha:]]{1,} A.*$", GERANIUM AVE,
 PL?IMP?T.N.*$, PLIMPTON AVE,
 K?NICK.*B.*R.*$, KNICKERBOCKER AVE,
 W.*L.*M.*BR.*$, WILLIAMSBRIDGE RD,
 GRA?N?D? CE?NTR?A?L? P.*$, GRAND CENTRAL PKWY,
 ST LA(U|W)R(E|A)NCE.*$, ST LAWRENCE AVE,
 CRO?S?S? BR?O?N?X.*$, CROSS BRONX EXWY,
 PARSONS? B.*$, PARSONS BLVD,
 WOODSIDE.*$, WOODSIDE AVE,
 KNOCKS , KNOX ,
 GAR.*F.*LD , GARFIELD ,
" A?AB?L?B?ER?MAR?B?L[[:alpha:]]{1,} ", ALBEMARLE ,
" AR?MS?[[:alpha:]]{1,}DAM A.*$", AMSTERDAM AVE,
" LEX[[:alpha:]]{1,} ", LEXINGTON ,
" COU?RT[[:alpha:]]{1,}(L|Y)[[:alpha:]]{1,} ", CORTELYOU ,
"^(.*[[:digit:]]{1,}) ?O(TH)",\10\2,
"^(.*[[:digit:]]{1,}) ?NDST.*$",\1 ST,
"^(.*[[:digit:]]{1,}) ?RDST.*$",\1 ST,
"^(.*[[:digit:]]{1,}) ?THST.*$",\1 ST,
"^(.*[[:digit:]]{1,}) ?THAV.*$",\1 AVE,
" BAT?CH?[[:alpha:]]{1,} S.*$", BATCHELDER ST,
 SO?U?T?H? ?OXFORD, S OXFORD ST,
 NO?R?T?H? ?OXFORD S, N OXFORD ST,
 NO?R?T?H? ?OXFORD W, N OXFORD WALK,
" ROOS[[:alpha:]]{1,} A.*$", ROOSEVELT AVE,
" HAWTR[[:alpha:]]{1,} A.*$", HAWTREE AVE,
 HAWTHORNE? A.*$, HAWTHORN AVE,
 HAWTHORNE? S.*$, HAWTHORNE ST,
 SAND?FORD A.*$, SANFORD AVE,
" SPR[[:alpha:]]{1,}F[[:alpha:]]{1,}D L.*$", SPRINGFIELD LN,
" SPR[[:alpha:]]{1,}F[[:alpha:]]{1,}D A.*$", SPRINGFIELD AVE,
